locus_tag	ftype	length_bp	gene	EC_number	COG	product
MPKLEMIK_00001	CDS	378			COG1662	IS1 family transposase IS1R
MPKLEMIK_00002	CDS	534				hypothetical protein
MPKLEMIK_00003	tRNA	76				tRNA-Ala(tgc)
MPKLEMIK_00004	tRNA	77				tRNA-Ile(gat)
MPKLEMIK_00005	CDS	498				hypothetical protein
MPKLEMIK_00006	CDS	2436	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
MPKLEMIK_00007	CDS	270	ynfD			putative protein YnfD
MPKLEMIK_00008	CDS	711				hypothetical protein
MPKLEMIK_00009	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
MPKLEMIK_00010	CDS	342				hypothetical protein
MPKLEMIK_00011	CDS	327				hypothetical protein
MPKLEMIK_00012	CDS	1284	lgoT_1			putative L-galactonate transporter
MPKLEMIK_00013	CDS	1464	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
MPKLEMIK_00014	CDS	432	uspG_1		COG0589	Universal stress protein UP12
MPKLEMIK_00015	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
MPKLEMIK_00016	CDS	750	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MPKLEMIK_00017	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
MPKLEMIK_00018	CDS	387				hypothetical protein
MPKLEMIK_00019	CDS	843	nimR_1			HTH-type transcriptional regulator NimR
MPKLEMIK_00020	CDS	675	yedK_1	3.4.-.-	COG2135	SOS response-associated protein YedK
MPKLEMIK_00021	CDS	636				hypothetical protein
MPKLEMIK_00022	CDS	105				hypothetical protein
MPKLEMIK_00023	CDS	474	ibpB_1			Small heat shock protein IbpB
MPKLEMIK_00024	CDS	513	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
MPKLEMIK_00025	CDS	1218	bluF_1			Blue light- and temperature-regulated antirepressor BluF
MPKLEMIK_00026	CDS	612				hypothetical protein
MPKLEMIK_00027	CDS	942	rob_1		COG2207	Right origin-binding protein
MPKLEMIK_00028	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
MPKLEMIK_00029	CDS	783	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
MPKLEMIK_00030	CDS	621	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
MPKLEMIK_00031	CDS	1266	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
MPKLEMIK_00032	CDS	903	ltnD	1.1.1.411		L-threonate dehydrogenase
MPKLEMIK_00033	CDS	762	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
MPKLEMIK_00034	CDS	861	bla	3.5.2.6	COG2367	Beta-lactamase SHV-1
MPKLEMIK_00035	CDS	261				hypothetical protein
MPKLEMIK_00036	CDS	1089				hypothetical protein
MPKLEMIK_00037	CDS	1266	lacY_1			Lactose permease
MPKLEMIK_00038	CDS	3108	lacZ_1	3.2.1.23	COG3250	Beta-galactosidase
MPKLEMIK_00039	CDS	1065	lacI_1		COG1609	Lactose operon repressor
MPKLEMIK_00040	CDS	441				hypothetical protein
MPKLEMIK_00041	CDS	219				hypothetical protein
MPKLEMIK_00042	CDS	1098	rhaS_1			HTH-type transcriptional activator RhaS
MPKLEMIK_00043	CDS	399				hypothetical protein
MPKLEMIK_00044	CDS	1104				hypothetical protein
MPKLEMIK_00045	CDS	1272	amiC_1			Aliphatic amidase expression-regulating protein
MPKLEMIK_00046	CDS	1575				hypothetical protein
MPKLEMIK_00047	CDS	1074				hypothetical protein
MPKLEMIK_00048	CDS	798	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MPKLEMIK_00049	CDS	699	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MPKLEMIK_00050	CDS	483				hypothetical protein
MPKLEMIK_00051	CDS	1197	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
MPKLEMIK_00052	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
MPKLEMIK_00053	CDS	219				hypothetical protein
MPKLEMIK_00054	CDS	375	marA			Multiple antibiotic resistance protein MarA
MPKLEMIK_00055	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
MPKLEMIK_00056	CDS	669				hypothetical protein
MPKLEMIK_00057	CDS	1200	sotB_1		COG2814	Sugar efflux transporter
MPKLEMIK_00058	CDS	795	yddE	5.1.-.-	COG0384	putative isomerase YddE
MPKLEMIK_00059	CDS	1320	garP_1			putative galactarate transporter
MPKLEMIK_00060	CDS	1485	dapA_1	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
MPKLEMIK_00061	CDS	1149	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
MPKLEMIK_00062	CDS	1236	dtnK	2.7.1.219	COG3395	D-threonate kinase
MPKLEMIK_00063	CDS	987	pdxA2_1	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
MPKLEMIK_00064	CDS	762	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
MPKLEMIK_00065	CDS	294	ldh1_1	1.1.1.27		L-lactate dehydrogenase 1
MPKLEMIK_00066	CDS	651	ldh1_2	1.1.1.27		L-lactate dehydrogenase 1
MPKLEMIK_00067	CDS	483				hypothetical protein
MPKLEMIK_00068	CDS	879	gltR_1		COG0583	HTH-type transcriptional regulator GltR
MPKLEMIK_00069	CDS	1389	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
MPKLEMIK_00070	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
MPKLEMIK_00071	CDS	369				hypothetical protein
MPKLEMIK_00072	CDS	1425				hypothetical protein
MPKLEMIK_00073	CDS	531	ttr	2.3.1.-		Acetyltransferase
MPKLEMIK_00074	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
MPKLEMIK_00075	CDS	447				hypothetical protein
MPKLEMIK_00076	CDS	99				hypothetical protein
MPKLEMIK_00077	CDS	195				hypothetical protein
MPKLEMIK_00078	CDS	381				hypothetical protein
MPKLEMIK_00079	CDS	321				hypothetical protein
MPKLEMIK_00080	CDS	762	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
MPKLEMIK_00081	CDS	291				hypothetical protein
MPKLEMIK_00082	CDS	1188	yhhS_1			putative MFS-type transporter YhhS
MPKLEMIK_00083	CDS	423	yycE			putative protein YycE
MPKLEMIK_00084	CDS	1158				hypothetical protein
MPKLEMIK_00085	CDS	846	gltR_2		COG0583	HTH-type transcriptional regulator GltR
MPKLEMIK_00086	CDS	1059	pnoA	1.13.12.-		Nitronate monooxygenase
MPKLEMIK_00087	CDS	672	metI_1		COG2011	D-methionine transport system permease protein MetI
MPKLEMIK_00088	CDS	792	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MPKLEMIK_00089	CDS	807	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
MPKLEMIK_00090	CDS	1029	vldW_1	1.14.11.52		Validamycin A dioxygenase
MPKLEMIK_00091	CDS	264				hypothetical protein
MPKLEMIK_00092	CDS	312				hypothetical protein
MPKLEMIK_00093	CDS	756				hypothetical protein
MPKLEMIK_00094	CDS	945	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
MPKLEMIK_00095	CDS	1239	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
MPKLEMIK_00096	CDS	975	pobB	1.-.-.-		Phenoxybenzoate dioxygenase subunit beta
MPKLEMIK_00097	CDS	1038	ndmA	1.14.13.178		Methylxanthine N1-demethylase NdmA
MPKLEMIK_00098	CDS	924	argP_1			HTH-type transcriptional regulator ArgP
MPKLEMIK_00099	CDS	1155	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
MPKLEMIK_00100	CDS	1380	xanP_1		COG2233	Xanthine permease XanP
MPKLEMIK_00101	CDS	501	uao			Uric acid degradation bifunctional protein
MPKLEMIK_00102	CDS	327	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
MPKLEMIK_00103	CDS	288	hipB		COG1396	Antitoxin HipB
MPKLEMIK_00104	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
MPKLEMIK_00105	CDS	1293				hypothetical protein
MPKLEMIK_00106	CDS	1005				hypothetical protein
MPKLEMIK_00107	CDS	2502	fimD_1		COG3188	Outer membrane usher protein FimD
MPKLEMIK_00108	CDS	696	yraI_1			putative fimbrial chaperone YraI
MPKLEMIK_00109	CDS	564	fimA			Type-1 fimbrial protein, A chain
MPKLEMIK_00110	CDS	288				hypothetical protein
MPKLEMIK_00111	CDS	783	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
MPKLEMIK_00112	CDS	219				hypothetical protein
MPKLEMIK_00113	CDS	249				hypothetical protein
MPKLEMIK_00114	CDS	1656			COG2199	putative signaling protein
MPKLEMIK_00115	CDS	930				hypothetical protein
MPKLEMIK_00116	CDS	141				hypothetical protein
MPKLEMIK_00117	CDS	240				hypothetical protein
MPKLEMIK_00118	CDS	444	fruB_1		COG1925	Multiphosphoryl transfer protein
MPKLEMIK_00119	CDS	1446	iolT			Major myo-inositol transporter IolT
MPKLEMIK_00120	CDS	1329	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
MPKLEMIK_00121	CDS	1533	malP_1		COG1263	PTS system maltose-specific EIICB component
MPKLEMIK_00122	CDS	699	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MPKLEMIK_00123	CDS	744				hypothetical protein
MPKLEMIK_00124	CDS	885	cynR_1			HTH-type transcriptional regulator CynR
MPKLEMIK_00125	CDS	876	mmsB	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
MPKLEMIK_00126	CDS	1158	cdaR_1		COG3835	Carbohydrate diacid regulator
MPKLEMIK_00127	CDS	1176	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
MPKLEMIK_00128	CDS	1371	exuT_1			Hexuronate transporter
MPKLEMIK_00129	CDS	621	araB_1	3.1.1.15		L-arabinolactonase
MPKLEMIK_00130	CDS	1338	ttuB_1			Putative tartrate transporter
MPKLEMIK_00131	CDS	1191	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MPKLEMIK_00132	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
