locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIDOOLCM_00001	CDS	495				Tn3 family transposase ISNpu13
PIDOOLCM_00002	CDS	372				hypothetical protein
PIDOOLCM_00003	CDS	219				hypothetical protein
PIDOOLCM_00004	CDS	429				hypothetical protein
PIDOOLCM_00005	CDS	315				hypothetical protein
PIDOOLCM_00006	CDS	429				hypothetical protein
PIDOOLCM_00007	CDS	180	rop			Regulatory protein rop
PIDOOLCM_00008	CDS	531				hypothetical protein
PIDOOLCM_00009	CDS	732				hypothetical protein
PIDOOLCM_00010	CDS	1593				hypothetical protein
PIDOOLCM_00011	CDS	366				hypothetical protein
PIDOOLCM_00012	CDS	129				hypothetical protein
PIDOOLCM_00013	CDS	258	imm			Colicin-E3 immunity protein
PIDOOLCM_00014	CDS	1689	ceaC	3.1.-.-		Colicin-E3
PIDOOLCM_00015	CDS	258				hypothetical protein
PIDOOLCM_00016	CDS	267				hypothetical protein
PIDOOLCM_00017	CDS	225				hypothetical protein
PIDOOLCM_00018	CDS	129				hypothetical protein
PIDOOLCM_00019	CDS	576	hin_1		COG1961	DNA-invertase hin
PIDOOLCM_00020	CDS	591				hypothetical protein
PIDOOLCM_00021	CDS	2622	clpV1_1		COG0542	Protein ClpV1
PIDOOLCM_00022	CDS	555				hypothetical protein
PIDOOLCM_00023	CDS	468				hypothetical protein
PIDOOLCM_00024	CDS	2514				hypothetical protein
PIDOOLCM_00025	CDS	2232				hypothetical protein
PIDOOLCM_00026	CDS	858		1.8.3.7	COG1262	Formylglycine-generating enzyme
PIDOOLCM_00027	CDS	267				hypothetical protein
PIDOOLCM_00028	CDS	1158				hypothetical protein
PIDOOLCM_00029	CDS	3378				hypothetical protein
PIDOOLCM_00030	CDS	1587				hypothetical protein
PIDOOLCM_00031	CDS	1764				hypothetical protein
PIDOOLCM_00032	CDS	1101				hypothetical protein
PIDOOLCM_00033	CDS	537				hypothetical protein
PIDOOLCM_00034	CDS	444				hypothetical protein
PIDOOLCM_00035	CDS	462				hypothetical protein
PIDOOLCM_00036	CDS	603	ynbA		COG0558	Inner membrane protein YnbA
PIDOOLCM_00037	CDS	930				hypothetical protein
PIDOOLCM_00038	CDS	633				hypothetical protein
PIDOOLCM_00039	CDS	1707	ynbC		COG2267	putative protein YnbC
PIDOOLCM_00040	CDS	1362				hypothetical protein
PIDOOLCM_00041	CDS	765				hypothetical protein
PIDOOLCM_00042	CDS	1380	guaD_1	3.5.4.3	COG0402	Guanine deaminase
PIDOOLCM_00043	CDS	333				hypothetical protein
PIDOOLCM_00044	CDS	498	hcpA_1		COG3157	Major exported protein
PIDOOLCM_00045	CDS	1002	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
PIDOOLCM_00046	CDS	426	fosA	2.5.1.18		Glutathione transferase FosA
PIDOOLCM_00047	CDS	1008	degA		COG1609	HTH-type transcriptional regulator DegA
PIDOOLCM_00048	CDS	1092				hypothetical protein
PIDOOLCM_00049	CDS	1422	melB		COG2211	Melibiose carrier protein
PIDOOLCM_00050	CDS	822		3.1.1.2		Arylesterase
PIDOOLCM_00051	CDS	1620	entS_1			Enterobactin exporter EntS
PIDOOLCM_00052	CDS	408				hypothetical protein
PIDOOLCM_00053	CDS	1872	nfdA	3.5.1.91		N-substituted formamide deformylase
PIDOOLCM_00054	CDS	687				hypothetical protein
PIDOOLCM_00055	CDS	213				hypothetical protein
PIDOOLCM_00056	CDS	261				hypothetical protein
PIDOOLCM_00057	CDS	381	fixJ_1			Transcriptional regulatory protein FixJ
PIDOOLCM_00058	CDS	5583	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
PIDOOLCM_00059	CDS	618	tmoT			Response regulator protein TmoT
PIDOOLCM_00060	CDS	387				hypothetical protein
PIDOOLCM_00061	CDS	771	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
PIDOOLCM_00062	CDS	597	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
PIDOOLCM_00063	CDS	1017	roxA_1	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
PIDOOLCM_00064	CDS	1419	norG_1		COG1167	HTH-type transcriptional regulator NorG
PIDOOLCM_00065	CDS	162				hypothetical protein
PIDOOLCM_00066	CDS	1389	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
PIDOOLCM_00067	CDS	480				hypothetical protein
PIDOOLCM_00068	CDS	903	pgrR_1			HTH-type transcriptional regulator PgrR
PIDOOLCM_00069	CDS	1416		1.2.1.3		Putative aldehyde dehydrogenase
PIDOOLCM_00070	CDS	324	yqjZ		COG2329	putative protein YqjZ
PIDOOLCM_00071	CDS	399				hypothetical protein
PIDOOLCM_00072	CDS	696				hypothetical protein
PIDOOLCM_00073	CDS	471	slyA_1		COG1846	Transcriptional regulator SlyA
PIDOOLCM_00074	CDS	1065	yibH_1		COG1566	Inner membrane protein YibH
PIDOOLCM_00075	CDS	1077				hypothetical protein
PIDOOLCM_00076	CDS	1272				hypothetical protein
PIDOOLCM_00077	CDS	288				hypothetical protein
PIDOOLCM_00078	CDS	303				hypothetical protein
PIDOOLCM_00079	CDS	639	rhtC_1		COG1280	Threonine efflux protein
PIDOOLCM_00080	CDS	744	rhaS_1			HTH-type transcriptional activator RhaS
PIDOOLCM_00081	CDS	1371	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
PIDOOLCM_00082	CDS	321				hypothetical protein
PIDOOLCM_00083	CDS	546				hypothetical protein
PIDOOLCM_00084	CDS	1374				hypothetical protein
PIDOOLCM_00085	CDS	954	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
PIDOOLCM_00086	CDS	204				hypothetical protein
PIDOOLCM_00087	CDS	2154	btsT		COG1966	Pyruvate/proton symporter BtsT
PIDOOLCM_00088	CDS	903				hypothetical protein
PIDOOLCM_00089	CDS	513	hpaC	1.5.1.36	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
PIDOOLCM_00090	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
PIDOOLCM_00091	CDS	933	rhaR_1			HTH-type transcriptional activator RhaR
PIDOOLCM_00092	CDS	1347	ttuB_1			Putative tartrate transporter
PIDOOLCM_00093	CDS	798	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
PIDOOLCM_00094	CDS	804	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
PIDOOLCM_00095	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
PIDOOLCM_00096	CDS	852	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
PIDOOLCM_00097	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
PIDOOLCM_00098	CDS	1278	hpcE		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
PIDOOLCM_00099	CDS	441	farR			HTH-type transcriptional regulator FarR
PIDOOLCM_00100	CDS	1665	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
PIDOOLCM_00101	CDS	537				hypothetical protein
PIDOOLCM_00102	CDS	474				hypothetical protein
PIDOOLCM_00103	CDS	741				hypothetical protein
PIDOOLCM_00104	CDS	957				hypothetical protein
PIDOOLCM_00105	CDS	2232				hypothetical protein
PIDOOLCM_00106	CDS	777				hypothetical protein
PIDOOLCM_00107	CDS	498				hypothetical protein
PIDOOLCM_00108	CDS	540				hypothetical protein
PIDOOLCM_00109	CDS	639				hypothetical protein
PIDOOLCM_00110	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
PIDOOLCM_00111	CDS	483				hypothetical protein
PIDOOLCM_00112	CDS	738	dnaC		COG1484	DNA replication protein DnaC
PIDOOLCM_00113	CDS	546	dnaT			Primosomal protein 1
PIDOOLCM_00114	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
