locus_tag	ftype	length_bp	gene	EC_number	COG	product
IEKICEID_00001	CDS	2403				hypothetical protein
IEKICEID_00002	CDS	1746	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
IEKICEID_00003	CDS	999	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
IEKICEID_00004	CDS	216	cspB_1		COG1278	Cold shock-like protein CspB
IEKICEID_00005	CDS	180				hypothetical protein
IEKICEID_00006	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
IEKICEID_00007	CDS	828				hypothetical protein
IEKICEID_00008	CDS	789	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
IEKICEID_00009	CDS	1326	mukF		COG3006	Chromosome partition protein MukF
IEKICEID_00010	CDS	726	mukE		COG3095	Chromosome partition protein MukE
IEKICEID_00011	CDS	4446	mukB		COG3096	Chromosome partition protein MukB
IEKICEID_00012	CDS	1743	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
IEKICEID_00013	CDS	549				hypothetical protein
IEKICEID_00014	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
IEKICEID_00015	CDS	1749				hypothetical protein
IEKICEID_00016	CDS	8187				hypothetical protein
IEKICEID_00017	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
IEKICEID_00018	CDS	1131	ompD_1		COG3203	Outer membrane porin protein OmpD
IEKICEID_00019	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
IEKICEID_00020	CDS	1215	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
IEKICEID_00021	CDS	2619	pepN	3.4.11.2	COG0308	Aminopeptidase N
IEKICEID_00022	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
IEKICEID_00023	CDS	546	zapC			Cell division protein ZapC
IEKICEID_00024	CDS	1116	ycbX		COG0633	putative protein YcbX
IEKICEID_00025	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
IEKICEID_00026	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
IEKICEID_00027	CDS	1275	pqiA		COG2995	Intermembrane transport protein PqiA
IEKICEID_00028	CDS	1650	pqiB		COG3008	Intermembrane transport protein PqiB
IEKICEID_00029	CDS	555	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
IEKICEID_00030	CDS	171	rmf		COG3130	Ribosome modulation factor
IEKICEID_00031	CDS	519	fabA	4.2.1.59		3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
IEKICEID_00032	CDS	1737	lon_1	3.4.21.53		Lon protease
IEKICEID_00033	CDS	123				hypothetical protein
IEKICEID_00034	CDS	468	matP		COG3120	Macrodomain Ter protein
IEKICEID_00035	CDS	1071	ompA_1			Outer membrane protein A
IEKICEID_00036	CDS	522	sulA		COG5404	Cell division inhibitor SulA
IEKICEID_00037	CDS	615	sxy		COG3070	Protein Sxy
