locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLHBOIPB_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GLHBOIPB_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
GLHBOIPB_00003	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
GLHBOIPB_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
GLHBOIPB_00005	CDS	399				hypothetical protein
GLHBOIPB_00006	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
GLHBOIPB_00007	CDS	657				hypothetical protein
GLHBOIPB_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
GLHBOIPB_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
GLHBOIPB_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
GLHBOIPB_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
GLHBOIPB_00012	CDS	1293	dgoT			D-galactonate transporter
GLHBOIPB_00013	CDS	1101	cbrA		COG0644	Protein CbrA
GLHBOIPB_00014	CDS	1215				hypothetical protein
GLHBOIPB_00015	CDS	261				hypothetical protein
GLHBOIPB_00016	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
GLHBOIPB_00017	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
GLHBOIPB_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
GLHBOIPB_00019	CDS	867	rhaR_1			HTH-type transcriptional activator RhaR
GLHBOIPB_00020	CDS	1716	yidK		COG4146	putative symporter YidK
GLHBOIPB_00021	CDS	1494		3.1.6.-		Ulvan-active sulfatase
GLHBOIPB_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
GLHBOIPB_00023	CDS	363	yidG			Inner membrane protein YidG
GLHBOIPB_00024	CDS	498				hypothetical protein
GLHBOIPB_00025	CDS	1185	emrD			Multidrug resistance protein D
GLHBOIPB_00026	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
GLHBOIPB_00027	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
GLHBOIPB_00028	CDS	861				hypothetical protein
GLHBOIPB_00029	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
GLHBOIPB_00030	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
GLHBOIPB_00031	CDS	1320	uhpC		COG2271	Membrane sensor protein UhpC
GLHBOIPB_00032	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
GLHBOIPB_00033	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
GLHBOIPB_00034	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
GLHBOIPB_00035	CDS	453				hypothetical protein
GLHBOIPB_00036	CDS	1239	nepI		COG2814	Purine ribonucleoside efflux pump NepI
GLHBOIPB_00037	CDS	294				hypothetical protein
GLHBOIPB_00038	CDS	819	nlpA		COG1464	Lipoprotein 28
GLHBOIPB_00039	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
GLHBOIPB_00040	CDS	498				hypothetical protein
GLHBOIPB_00041	CDS	732				hypothetical protein
GLHBOIPB_00042	CDS	1398	recF_2			DNA replication and repair protein RecF
GLHBOIPB_00043	CDS	426				hypothetical protein
GLHBOIPB_00044	CDS	315	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
GLHBOIPB_00045	CDS	474				hypothetical protein
GLHBOIPB_00046	CDS	387				hypothetical protein
GLHBOIPB_00047	CDS	441				hypothetical protein
GLHBOIPB_00048	CDS	954				hypothetical protein
GLHBOIPB_00049	CDS	615				hypothetical protein
GLHBOIPB_00050	CDS	219				hypothetical protein
GLHBOIPB_00051	CDS	786				hypothetical protein
GLHBOIPB_00052	CDS	1014	der_1			GTPase Der
GLHBOIPB_00053	CDS	684				hypothetical protein
GLHBOIPB_00054	CDS	1101				hypothetical protein
GLHBOIPB_00055	CDS	486				hypothetical protein
GLHBOIPB_00056	CDS	1827				hypothetical protein
GLHBOIPB_00057	CDS	198				hypothetical protein
GLHBOIPB_00058	CDS	1326				hypothetical protein
GLHBOIPB_00059	CDS	1212	intS_1		COG0582	Prophage integrase IntS
GLHBOIPB_00060	tRNA	95				tRNA-SeC(tca)
GLHBOIPB_00061	CDS	1383	yicJ		COG2211	Inner membrane symporter YicJ
GLHBOIPB_00062	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
GLHBOIPB_00063	CDS	1554	manR		COG1762	Transcriptional regulator ManR
GLHBOIPB_00064	CDS	471	fruA_1		COG1299	PTS system fructose-specific EIIABC component
GLHBOIPB_00065	CDS	315	frwD_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
GLHBOIPB_00066	CDS	1092	fruA_2		COG1299	PTS system fructose-specific EIIB'BC component
GLHBOIPB_00067	CDS	852	kbaY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
GLHBOIPB_00068	CDS	861	fbaA_1	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
GLHBOIPB_00069	CDS	933	mak_1	2.7.1.4	COG1940	Fructokinase
GLHBOIPB_00070	CDS	681				hypothetical protein
